brand,model,category,release_year,ram,cpu,screen_size,refresh_rate,main_camera,front_camera,battery_capacity,charging_speed,operating_system,case_size,case_material,band_material,display_type,water_resistance,battery_life,connectivity,compatible_os,accessory_type,compatibility,material,color,connector_type,warranty
Samsung,Galaxy S23+,Phone,2023,8GB,Snapdragon 8 Gen 2 for Galaxy,6.6 inches,120Hz,50MP+12MP+10MP,12MP,4700mAh,45W,Android 13; One UI 5.1,,,Dynamic AMOLED 2X,IP68,,5G; Wi-Fi 6E; Bluetooth 5.3; GPS; GLONASS; Beidou; Galileo; QZSS,,,,,,Phantom Black,USB Type-C,
Samsung,Galaxy S23 Ultra,Phone,2023,12GB,Snapdragon 8 Gen 2 for Galaxy,6.8 inches,120Hz,200MP+12MP+10MP+10MP,12MP,5000mAh,45W,Android 13; One UI 5.1,,,Dynamic AMOLED 2X,IP68,,5G; Wi-Fi 6E; Bluetooth 5.3; GPS; GLONASS; Beidou; Galileo; QZSS,,,,,,Phantom Black,USB Type-C,
Samsung,Galaxy S23 FE,Phone,2023,8GB,Exynos 2200,6.4 inches,120Hz,50MP+12MP+8MP,10MP,4500mAh,25W,Android 13; One UI 5.1,,,Dynamic AMOLED 2X,IP68,,5G; Wi-Fi 6E; Bluetooth 5.3; GPS; GLONASS; Beidou; Galileo; QZSS,,,,,,Graphite,USB Type-C,
Samsung,Galaxy S24,Phone,2024,8GB,Exynos 2400,6.2 inches,120Hz,50MP+12MP+10MP,12MP,4000mAh,25W,Android 14; One UI 6.1,,,Dynamic AMOLED 2X,IP68,,5G; Wi-Fi 6E; Bluetooth 5.3; GPS; GLONASS; Beidou; Galileo; QZSS,,,,,,Onyx Black,USB Type-C,
Samsung,Galaxy S24+,Phone,2024,12GB,Exynos 2400,6.7 inches,120Hz,50MP+12MP+10MP,12MP,4900mAh,45W,Android 14; One UI 6.1,,,Dynamic AMOLED 2X,IP68,,5G; Wi-Fi 6E; Bluetooth 5.3; GPS; GLONASS; Beidou; Galileo; QZSS,,,,,,Onyx Black,USB Type-C,
Samsung,Galaxy S24 Ultra,Phone,2024,12GB,Snapdragon 8 Gen 3 for Galaxy,6.8 inches,120Hz,200MP+50MP+12MP+10MP,12MP,5000mAh,45W,Android 14; One UI 6.1,,,Dynamic AMOLED 2X,IP68,,5G; Wi-Fi 7; Bluetooth 5.3; GPS; GLONASS; Beidou; Galileo; QZSS,,,,,,Titanium Black,USB Type-C,
Samsung,Galaxy S24 FE,Phone,2024,8GB,Exynos 2400e,6.7 inches,120Hz,50MP+12MP+8MP,10MP,4700mAh,25W,Android 14; One UI 6.1.1,,,Dynamic AMOLED 2X,IP68,,5G; Wi-Fi 6E; Bluetooth 5.3; GPS; GLONASS; Beidou; Galileo; QZSS,,,,,,Blue,USB Type-C,
Samsung,Galaxy S25,Phone,2025,12GB,Snapdragon 8 Elite,6.2 inches,120Hz,50MP+12MP+10MP,12MP,4000mAh,25W,Android 15; One UI 7,,,Dynamic AMOLED 2X,IP68,,5G; Wi-Fi 7; Bluetooth 5.4; GPS; GLONASS; Beidou; Galileo; QZSS,,,,,,Icy Blue,USB Type-C,
Samsung,Galaxy S25+,Phone,2025,12GB,Snapdragon 8 Elite,6.7 inches,120Hz,50MP+12MP+10MP,12MP,4900mAh,45W,Android 15; One UI 7,,,Dynamic AMOLED 2X,IP68,,5G; Wi-Fi 7; Bluetooth 5.4; GPS; GLONASS; Beidou; Galileo; QZSS,,,,,,Icy Blue,USB Type-C,
Samsung,Galaxy S25 Ultra,Phone,2025,12GB,Snapdragon 8 Elite,6.9 inches,120Hz,200MP+50MP+50MP+10MP,12MP,5000mAh,45W,Android 15; One UI 7,,,Dynamic AMOLED 2X,IP68,,5G; Wi-Fi 7; Bluetooth 5.4; GPS; GLONASS; Beidou; Galileo; QZSS,,,,,,Titanium Black,USB Type-C,
Samsung,Galaxy S25 FE,Phone,2025,8GB,Exynos 2400,6.7 inches,120Hz,50MP+12MP+8MP,12MP,4900mAh,45W,Android 16; One UI 8,,,Dynamic AMOLED 2X,IP68,,5G; Wi-Fi 6E; Bluetooth 5.4; GPS; GLONASS; Beidou; Galileo; QZSS,,,,,,Icy Blue,USB Type-C,
